Drink,Ingredientes,Método de mistura,Montagem,Copo,Finalização,Observação
Cuba Libre,"1 parte de rum
3 partes de coca
meio limão",Mistura simples,Montado, servir com gelo,longo,rodela de limão,
Cosmopolitan,"45ml de vodka
22.5ml de triple sec
22,5ml de suco de cranberry
15mL de suco de limão",Batido,Filtragem fina, servir sem gelo,taça coupe ou coupette,casca de limão siciliano,
Daikiri,"50ml de rum
20ml de suco de limão
15ml de xarope de açúcar",Batido,Filtragem fina, servir sem gelo,taça coupe ou coupette,,5ml de grenadine
Jorge Amado,"60ml de Cachaça Cravo e Canela
40mL de polpa de maracujá
20mL de suco de limão
10mL de xarope de açúcar",Batido,Filtragem fina, servir com gelo,old fashioned longo ou baixo,rodela de limão,
Mojito,"hortelã
50mL de rum branco
20mL de xarope de açúcar
25mL de suco de limão
água com gás",Mistura simples,Montado, servir com gelo,longo,água com gás,gelo triturado
caipirinha,"1 limão tahiti
2 colheres de açúcar
60mL de cachaça",Maceração,Montado, servir com gelo,old fashioned baixo,,
Banzeiro,"50mL cachaça
20mL de suco de limão siciliano
10mL de xarope de açúcar
vinho",Batido,Filtragem simples, servir com gelo,old fashioned baixo,vinho tinto seco, espuma gengibre,
gin tonica,"gin
limao
tonica",Mistura simples,Montado, servir com gelo,Taça Balloon ou copo longo,fatia de pepino ou limão,"50ml de Gin INK com infusão de Clitória Tenatea
15ml de Xarope de açúcar
20ml de limão"
Lagoa Azul,"25mL de suco de Limão
40mL de vodka
25ml de Triple Sec
10mL de xarope de açúcar",Batido,Filtragem simples, servir com gelo,longo ou taça escandinava,àgua com gás, hortelã e rodela de limão,
Macunaíma,"45mL de cachaça
20mL de suco de limão
25mL de xarope de açúcar
7mL de fernet",Batido,Coar e servir sem gelo,americano,,
Gimlet,"60mL de gin
20mL de licor de limão
10mL de suco de limão
10mL de xarope de açúcar",Batido,Filtragem simples, servir sem gelo,taça coupette,laranja desidratada,
Blue Lady,"45mL de triple sec
30mL de gin
25mL de suco de limão siciliano
clara de ovo",Batido,Filtragem simples, servir sem gelo,taça coupe ou coupette,,
Campari Passion,"60mL de Campari
50mL de poupa de maracujá
20mL de xarope de açúcar",Batido,Filtragem simples, servir com gelo,old fashioned longo,ramo de hortelã,
Canchanchara,"60ml de rum ouro
20ml de xarope de mel
15ml de suco de limão",Batido,Filtragem simples, servir com gelo,old fashioned longo,casca de limão,xarope de mel: 1 parte de agua p/ 3 partes de mel, sem fogo
Garibaldi,"60mL de Campari
120mL de suco de laranja",Mistura simples,Montado, servir com gelo,longo,rodela de laranja,dry shake no suco de laranja
Americano,"40ml de Campari
40mL de vermute tinto
60mL de água com gás",Mistura simples,Montado, servir com gelo,old fashioned baixo,rodela de laranja,
Campari Sour,"60mL de Campari
25mL de suco de limão
clara de ovo
20mL de xarope de açúcar",Batido,Filtragem simples, servir com gelo,old fashioned baixo,,dry shake na clara antes
Maria Mole,"60mL de conhaque de gengibre
40mL de vermute tinto",Mixing glass,Montado, servir com gelo,old fashioned baixo,rodela de laranja ou limão,5mL de licor de café
FITZGERALD,"50ml de Gin
20ml de limão siciliano
20ml de xarope de açúcar
2 dashed de angostura ou 7ml de fernet",Batido,Filtragem simples, servir com gelo,old fashioned baixo,,
Too Soon,"30mL de Gin
30mL de Cynar
20mL de suco de limão
2 pedaços de laranja
15mL de xarope de açúcar",Batido,Filtragem simples, servir sem gelo,taça coupe ou coupette,casca de laranja,
